Region_Cod,Region_Nam,District_C,District_N,Ward_Code,Ward_Name,Vil_Mtaa_C,Vil_Mtaa_N
01,Dodoma,01,Kondoa,011,Bumbuta,01,Bumbuta
01,Dodoma,01,Kondoa,011,Bumbuta,02,Mahongo
01,Dodoma,01,Kondoa,011,Bumbuta,03,Mauno
01,Dodoma,01,Kondoa,021,Pahi,01,Pahi
01,Dodoma,01,Kondoa,021,Pahi,02,Potea
01,Dodoma,01,Kondoa,021,Pahi,03,Salare
01,Dodoma,01,Kondoa,021,Pahi,04,Kiteo
01,Dodoma,01,Kondoa,031,Busi,01,Busi
01,Dodoma,01,Kondoa,031,Busi,02,Sambwa
01,Dodoma,01,Kondoa,031,Busi,03,Keikei
01,Dodoma,01,Kondoa,031,Busi,04,Idindiri
01,Dodoma,01,Kondoa,031,Busi,05,Ihari
01,Dodoma,01,Kondoa,031,Busi,06,Isusumya
01,Dodoma,01,Kondoa,041,Haubi,01,Haubi
01,Dodoma,01,Kondoa,041,Haubi,02,Ntomoko
01,Dodoma,01,Kondoa,041,Haubi,03,Mafai
01,Dodoma,01,Kondoa,051,Kalamba,01,Baura
01,Dodoma,01,Kondoa,051,Kalamba,02,Kalamba Chini
01,Dodoma,01,Kondoa,051,Kalamba,03,Hebi Chini
01,Dodoma,01,Kondoa,051,Kalamba,04,Loo
01,Dodoma,01,Kondoa,051,Kalamba,05,Hebi Juu
01,Dodoma,01,Kondoa,051,Kalamba,06,Kalamba Juu
01,Dodoma,01,Kondoa,061,Kwadelo,01,Kwadelo
01,Dodoma,01,Kondoa,061,Kwadelo,02,Kirere Cha Ng'ombe
01,Dodoma,01,Kondoa,061,Kwadelo,03,Makirinya
01,Dodoma,01,Kondoa,071,Masange,01,Masange
01,Dodoma,01,Kondoa,071,Masange,02,Kwayondu
01,Dodoma,01,Kondoa,081,Kikilo,01,Kikilo Kati
01,Dodoma,01,Kondoa,081,Kikilo,02,Kikilo Ororimo
01,Dodoma,01,Kondoa,081,Kikilo,03,Kwahengwa
01,Dodoma,01,Kondoa,081,Kikilo,04,Berabera
01,Dodoma,01,Kondoa,091,Bereko,01,Puhi
01,Dodoma,01,Kondoa,091,Bereko,02,Bereko
01,Dodoma,01,Kondoa,101,Kisese,01,Mapinduzi
01,Dodoma,01,Kondoa,101,Kisese,02,Kisese Sauna
01,Dodoma,01,Kondoa,101,Kisese,03,Madisa
01,Dodoma,01,Kondoa,101,Kisese,04,Kisesa Dissa
01,Dodoma,01,Kondoa,101,Kisese,05,Atta
01,Dodoma,01,Kondoa,111,Kikore,01,Kikore
01,Dodoma,01,Kondoa,111,Kikore,02,Madege
01,Dodoma,01,Kondoa,111,Kikore,03,Hurui
01,Dodoma,01,Kondoa,111,Kikore,04,Mitati
01,Dodoma,01,Kondoa,111,Kikore,05,Mkurumuzi
01,Dodoma,01,Kondoa,121,Serya,01,Mongoroma
01,Dodoma,01,Kondoa,121,Serya,02,Chandimu
01,Dodoma,01,Kondoa,121,Serya,03,Munguri
01,Dodoma,01,Kondoa,121,Serya,04,Serya
01,Dodoma,01,Kondoa,133,Kilimani,01,Damai
01,Dodoma,01,Kondoa,133,Kilimani,02,Bicha
01,Dodoma,01,Kondoa,133,Kilimani,03,Kilimani
01,Dodoma,01,Kondoa,133,Kilimani,04,Kwantisi
01,Dodoma,01,Kondoa,142,Chemchem,01,Kwapakacha
01,Dodoma,01,Kondoa,142,Chemchem,02,Ubembeni
01,Dodoma,01,Kondoa,142,Chemchem,03,Iboni
01,Dodoma,01,Kondoa,142,Chemchem,04,Chemchem
01,Dodoma,01,Kondoa,151,Hondo mairo,01,Mwembeni
01,Dodoma,01,Kondoa,151,Hondo mairo,02,Hondo Mairo
01,Dodoma,01,Kondoa,151,Hondo mairo,03,Mtiryangwi
01,Dodoma,01,Kondoa,161,Bolisa,01,Itiso
01,Dodoma,01,Kondoa,161,Bolisa,02,Bolisa
01,Dodoma,01,Kondoa,161,Bolisa,03,Poisi
01,Dodoma,01,Kondoa,171,Kinyasi,01,Kinyasi
01,Dodoma,01,Kondoa,171,Kinyasi,02,Kinyasi Kati
01,Dodoma,01,Kondoa,171,Kinyasi,03,Ikengwa
01,Dodoma,01,Kondoa,171,Kinyasi,04,Isongolo
01,Dodoma,01,Kondoa,181,Salanka,01,Makafa
01,Dodoma,01,Kondoa,181,Salanka,02,Lembo
01,Dodoma,01,Kondoa,181,Salanka,03,Salanka
01,Dodoma,01,Kondoa,181,Salanka,04,Masawi
01,Dodoma,01,Kondoa,181,Salanka,05,Alagwa
01,Dodoma,01,Kondoa,191,Itololo,01,Mongolo
01,Dodoma,01,Kondoa,191,Itololo,02,Kandaga
01,Dodoma,01,Kondoa,191,Itololo,03,Itololo
01,Dodoma,01,Kondoa,191,Itololo,04,Machinjioni
01,Dodoma,01,Kondoa,191,Itololo,04,Mkekena
01,Dodoma,01,Kondoa,201,Itaswi,01,Itaswi
01,Dodoma,01,Kondoa,201,Itaswi,02,Haire
01,Dodoma,01,Kondoa,201,Itaswi,03,Kisaki
01,Dodoma,01,Kondoa,201,Itaswi,04,Chubi
