Region,District,Ward,Village,Population
Kaskazini Pemba,Wete,Kipangani,Kipangani Juu,1896
Kaskazini Pemba,Wete,Kipangani,Kipangani Chini,2345
Kaskazini Pemba,Wete,Mtambwe Kaskazini,Nyali,1055
Kaskazini Pemba,Wete,Mtambwe Kaskazini,Uwondwe,866
Kaskazini Pemba,Wete,Mtambwe Kaskazini,Chanjaani,714
Kaskazini Pemba,Wete,Mtambwe Kaskazini,Kiapaka,683
Kaskazini Pemba,Wete,Mtambwe Kaskazini,Mpaka Njia,761
Kaskazini Pemba,Wete,Mtambwe Kaskazini,Kidundo,651
Kaskazini Pemba,Wete,Mtambwe Kaskazini,Mtambwe Mkuu,282
Kaskazini Pemba,Wete,Mtambwe Kaskazini,Jambaji,405
Kaskazini Pemba,Wete,Fundo,Kimeleyani,573
Kaskazini Pemba,Wete,Fundo,Ndooni,332
Kaskazini Pemba,Wete,Fundo,Chumbuni,419
Kaskazini Pemba,Wete,Fundo,Mabaoni,139
Kaskazini Pemba,Wete,Fundo,Uvinje,162
Kaskazini Pemba,Wete,Mchanga Mdogo,Kitambuu,957
Kaskazini Pemba,Wete,Mchanga Mdogo,Kiwani,503
Kaskazini Pemba,Wete,Mchanga Mdogo,Mchanga Mdogo,1328
Kaskazini Pemba,Wete,Mchanga Mdogo,Gombe Ume,492
Kaskazini Pemba,Wete,Kambini,Kambini,1438
Kaskazini Pemba,Wete,Kambini,Majenzi,1209
Kaskazini Pemba,Wete,Kambini,Hindi,697
Kaskazini Pemba,Wete,Kojani,Kojani,1386
Kaskazini Pemba,Wete,Kojani,Mji Mpya,412
Kaskazini Pemba,Wete,Kojani,Makaani,560
Kaskazini Pemba,Wete,Ole,Kianga,2366
Kaskazini Pemba,Wete,Ole,Ole,2765
Kaskazini Pemba,Wete,Ole,Jonwe,1107
Kaskazini Pemba,Wete,Ole,Kanambe,780
Kaskazini Pemba,Wete,Kangagani,Kangagani,2003
Kaskazini Pemba,Wete,Kangagani,Majenzi,1132
Kaskazini Pemba,Wete,Kiuyu Minungwini,Penjewani,534
Kaskazini Pemba,Wete,Kiuyu Minungwini,Mjini Kiuyu,735
Kaskazini Pemba,Wete,Kiuyu Minungwini,Maungweni,528
Kaskazini Pemba,Wete,Kiuyu Minungwini,Koongo,1336
Kaskazini Pemba,Wete,Piki,Bahanasa,810
Kaskazini Pemba,Wete,Piki,Piki,1362
Kaskazini Pemba,Wete,Piki,Bwagamoyo,1102
Kaskazini Pemba,Wete,Kisiwani,Shangafu,1367
Kaskazini Pemba,Wete,Kisiwani,Kisiwani,1869
Kaskazini Pemba,Wete,Gando,Chaoni,217
Kaskazini Pemba,Wete,Gando,Gando,695
Kaskazini Pemba,Wete,Gando,Magogoni,720
Kaskazini Pemba,Wete,Gando,Nduuni,578
Kaskazini Pemba,Wete,Ukunjwi,Raha,591
Kaskazini Pemba,Wete,Ukunjwi,Minyenyeni,303
Kaskazini Pemba,Wete,Ukunjwi,Chozi,307
Kaskazini Pemba,Wete,Ukunjwi,Ukunjwi,1568
Kaskazini Pemba,Wete,Pandani,Mlindo,927
Kaskazini Pemba,Wete,Pandani,Pandani,1734
Kaskazini Pemba,Wete,Pandani,Mchangani,1923
