,District,Ward,Village,Date,Start.time,End.time,Transport.used,Dogs.without.collars,Dogs.with.collars,Totalcounts,Comments
1,Micheweni,Konde,Kiungani,14/11/2013,00:00,00:00,Bicycle,1,2,3,NA
2,Micheweni,Kifundi,Matangatwani,14/11/2013,00:00,00:00,Bicycle,3,2,5,NA
3,Micheweni,Mgogoni,Melisita,15/11/2013,00:00,00:00,Bicycle,2,2,4,NA
4,Micheweni,Makangale,Kibuyuni,14/11/2013,00:00,00:00,Bicycle,4,3,7,NA
5,Micheweni,Tondooni,Misheni,14/11/2013,00:00,00:00,Bicycle,3,1,4,NA
6,Micheweni,Tumbe Magharibi,Kidongoni,15/11/2013,00:00,00:00,Bicycle,6,0,6,NA
7,Micheweni,Tumbe Mashariki,Kaliwa,15/11/2013,00:00,00:00,Bicycle,2,0,2,NA
8,Micheweni,Chimba,Bule,15/11/2013,00:00,00:00,Bicycle,7,12,19,NA
9,Micheweni,Msuka Mashariki,Ungi,14/11/2013,00:00,00:00,Bicycle,9,6,15,NA
10,Micheweni,Msuka Magharibi,Gombani,14/11/2013,00:00,00:00,Bicycle,3,5,8,NA
11,Micheweni,Kinowe,Migombani,15/11/2013,00:00,00:00,Bicycle,2,6,8,NA
12,Micheweni,Shumba Mjini,Mtamaduni,15/11/2013,00:00,00:00,Bicycle,7,2,9,NA
13,Micheweni,Mlindo,Kichangani,15/11/2013,00:00,00:00,Bicycle,2,3,5,NA
14,Micheweni,Sizini,Sizini,15/11/2013,00:00,00:00,Bicycle,1,5,6,NA
15,Micheweni,Finya,Kisiwani mianzini,14/11/2013,00:00,00:00,Bicycle,1,1,2,NA
16,Micheweni,Kinyasini,Mikarafuuni,15/11/2013,00:00,00:00,Bicycle,5,8,13,NA
17,Micheweni,Wingwi Mjananza,Kidutani,14/11/2013,00:00,00:00,Bicycle,7,0,7,NA
18,Micheweni,Mtemani,Kidodi,15/11/2013,00:00,00:00,Bicycle,5,4,9,NA
19,Micheweni,Shumba Viamboni,Mgeninge,15/11/2013,00:00,00:00,Bicycle,1,4,5,NA
20,Micheweni,Mihogoni,Mihogoni,15/11/2013,00:00,00:00,Bicycle,7,2,9,NA
21,Micheweni,Wingwi Njuguni,Njuguni,14/11/2013,00:00,00:00,Bicycle,0,2,2,NA
22,Micheweni,Wingwi Mapofu,Kinazini,14/11/2013,00:00,00:00,Bicycle,7,4,11,NA
23,Micheweni,Mjini Wingwi,Sebudawa,14/11/2013,00:00,00:00,Bicycle,4,0,4,NA
24,Micheweni,Maziwa Ng'ombe,Kandahari,15/11/2013,00:00,00:00,Bicycle,4,0,4,NA
25,Micheweni,Micheweni,Chamboni,15/11/2013,00:00,00:00,Bicycle,5,0,5,NA
26,Micheweni,Kiuyu Mbuyuni,Sanake,14/11/2013,00:00,00:00,Bicycle,3,0,3,NA
27,Micheweni,Majenzi,Kwale,15/11/2013,00:00,00:00,Bicycle,3,0,3,NA
28,Chakechake,Chonga,Chonga,14/11/2013,00:00,00:00,Foot,8,5,13,NA
29,Chakechake,Ng'ambwa,Vikunguni,13/11/2013,00:00,00:00,Bicycle,4,2,6,NA
30,Chakechake,Uwandani,Mjanaza,11/12/2013,00:00,00:00,Bicycle,3,9,12,NA
31,Chakechake,Mkoroshoni,Mkanjuni,11/12/2013,00:00,00:00,Bicycle,3,11,14,NA
32,Chakechake,Vitongoji,Udusini,11/12/2013,00:00,00:00,Bicycle,1,10,11,NA
33,Chakechake,Kibokoni,Kibokoni,11/12/2013,00:00,00:00,Bicycle,1,0,1,NA
34,Chakechake,Mvumoni,Furaha,13/11/2013,00:00,00:00,Bicycle,6,2,8,NA
35,Chakechake,Pujini,Mchangani,11/12/2013,00:00,00:00,Bicycle,2,3,5,NA
36,Chakechake,Mfikiwa,Fuweni,13/11/2013,00:00,00:00,Bicycle,5,0,5,NA
37,Chakechake,Matale,Mwine,11/12/2013,00:00,00:00,Bicycle,4,3,7,NA
38,Chakechake,Dodo,Kitokame,11/12/2013,00:00,00:00,Bicycle,2,0,2,NA
39,Chakechake,Wawi,Matrekta,11/12/2013,00:00,00:00,Foot,3,5,8,NA
40,Chakechake,Mbuzini,Semewani,13/11/2013,00:00,00:00,Foot,5,3,8,NA
41,Chakechake,Kwale,Miburani,13/11/2013,00:00,00:00,Bicycle,6,4,10,NA
42,Chakechake,Wara,Machomanne,13/11/2013,00:00,00:00,Foot,0,9,9,NA
43,Chakechake,Ziwani,Barawa,11/12/2013,00:00,00:00,Bicycle,7,5,12,NA
44,Chakechake,Shungi,Bomani,13/11/2013,00:00,00:00,Foot,9,3,12,NA
45,Chakechake,Kilindi,Kiwanja cha mpira,13/11/2013,00:00,00:00,Foot,2,2,4,NA
46,Chakechake,Mgelema,Banda la karafuu,13/11/2013,00:00,00:00,Foot,1,3,4,NA
47,Chakechake,Kichungwani,Miembeni,13/11/2013,00:00,00:00,Bicycle,5,0,5,NA
48,Chakechake,Michungwani,Kijemeni,11/12/2013,00:00,00:00,Bicycle,2,0,2,NA
49,Chakechake,Wesha,Mbuyuni,11/12/2013,00:00,00:00,Bicycle,1,2,3,NA
50,Chakechake,Ndagoni,Utaani,11/12/2013,00:00,00:00,Bicycle,2,0,2,NA
51,Chakechake,Tibirinzi,Pondeani,11/12/2013,00:00,00:00,Bicycle,2,1,3,NA
52,Chakechake,Msingini,Michakaini,11/12/2013,00:00,00:00,Foot,6,3,9,NA
53,Chakechake,Mgogoni,Kichangani,13/11/2013,00:00,00:00,Bicycle,2,0,2,NA
54,Chakechake,Madungu,Mtoni,11/12/2013,00:00,00:00,Foot,1,0,1,NA
55,Chakechake,Chanjaani,Zaire mpendaye,11/12/2013,00:00,00:00,Bicycle,1,1,2,NA
56,Chakechake,Chachani,Msufini,13/11/2013,00:00,00:00,Foot,2,0,2,NA
57,Mkoani,Stahabu,Meza mambo,11/12/2013,00:00,00:00,Bicycle,5,0,5,NA
58,Mkoani,Kisiwa Panza,Mtondoni,11/12/2013,00:00,00:00,Bicycle,0,0,0,NA
59,Mkoani,Michenzani,Kwa muhunzi,11/12/2013,00:00,00:00,Bicycle,3,10,13,NA
60,Mkoani,Chokocho,Ulenge,11/12/2013,00:00,00:00,Bicycle,7,6,13,NA
61,Mkoani,Mkanyageni,Tasini,11/12/2013,00:00,00:00,Bicycle,6,7,13,NA
62,Mkoani,Shidi,Kigongo,11/12/2013,00:00,00:00,Bicycle,3,4,7,NA
63,Mkoani,Mgagadu,Kimbuni,11/12/2013,00:00,00:00,Bicycle,2,0,2,NA
64,Mkoani,Wambaa,Kwa azani,11/11/2013,00:00,00:00,Bicycle,0,0,0,NA
65,Mkoani,Mizingani,Kichunjuu,11/11/2013,00:00,00:00,Bicycle,7,5,12,NA
66,Mkoani,Minazini,Minazini,11/12/2013,00:00,00:00,Bicycle,3,4,7,NA
67,Mkoani,Chumbageni,Zawadini,11/11/2013,00:00,00:00,Bicycle,5,8,13,NA
68,Mkoani,Kangani,Sokoni,11/12/2013,00:00,00:00,Motor cycle,3,8,11,NA
69,Mkoani,Kuukuu,kuukuu,11/12/2013,00:00,00:00,Motor cycle,7,6,13,NA
70,Mkoani,Mjimbini,Uwanjani,11/12/2013,00:00,00:00,Motor cycle,6,2,8,NA
71,Mkoani,Changaweni,Kwa changawe,11/12/2013,00:00,00:00,Motor cycle,3,8,11,NA
72,Mkoani,Mtambile,Mtakakaa,11/11/2013,00:00,00:00,Motor cycle,6,3,9,NA
73,Mkoani,Ngwachani,Kenya,11/12/2013,00:00,00:00,Bicycle,4,9,13,NA
74,Mkoani,Ukutini,Tuwa tagawe,11/11/2013,00:00,00:00,Bicycle,6,7,13,NA
75,Mkoani,Mtangani,Chanjaani,11/11/2013,00:00,00:00,Bicycle,7,7,14,NA
76,Mkoani,Kiwani,Kendwa,11/12/2013,00:00,00:00,Bicycle,4,5,9,NA
77,Mkoani,Chambani,Mapare,11/11/2013,00:00,00:00,Bicycle,8,3,11,NA
78,Mkoani,Makombeni,Katumeni,11/12/2013,00:00,00:00,Foot,5,3,8,NA
79,Mkoani,Makoongwe,Skuli,11/12/2013,00:00,00:00,Bicycle,0,0,0,NA
80,Mkoani,Mbuyuni,Mjini mkoani,11/12/2013,00:00,00:00,Foot,4,0,4,NA
81,Mkoani,Ng'ombeni,Jondeni,11/12/2013,00:00,00:00,Foot,4,12,16,NA
82,Mkoani,Mbuguani,Kipitacho,11/12/2013,00:00,00:00,Foot,3,8,11,NA
