District,Shehia,subvillage,vacc_date,dogs_vaccinated,Cats_vaccinated,total_dog_estimate
Mkoani,Mbuguani,,31/05/2018,5,0,6
Mkoani,Changaweni,,31/05/2018,6,0,10
Mkoani,Minazini,,31/05/2018,12,0,12
Mkoani,Kukuu,,30/05/2018,8,0,8
Mkoani,Jombwe,,29/05/2018,14,0,14
Mkoani,Chole,,29/05/2018,11,0,16
Mkoani,Dodo,,28/05/2018,20,0,20
Mkoani,Mwambe,,29/05/2018,20,0,23
Mkoani,Kiwani,,29/05/2018,6,0,6
Mkoani,Makombeni,,31/05/2018,11,0,11
Mkoani,Ukutini,,28/05/2018,6,0,6
Mkoani,Shidi,,30/05/2018,8,0,8
Mkoani,Kendwa,,29/05/2018,9,0,9
Mkoani,Stahabu,,30/05/2018,15,0,15
Mkoani,Michenzani,,30/05/2018,13,0,15
Mkoani,Mbuyuni,,30/05/2018,7,0,9
Mkoani,Ng'ombeni,,31/05/2018,5,0,7
Mkoani,Mjimbini,,30/05/2018,20,0,27
Mkoani,Mkanyageni,,30/05/2018,14,0,16
Mkoani,Chokocho,,31/05/2018,6,0,8
Mkoani,Uweleni,,28/05/2018,6,0,8
Mkoani,Mtambile,,30/05/2018,1,0,1
Mkoani,Mkungu,,29/05/2018,12,0,13
Mkoani,Ngwachani,,29/05/2018,27,0,36
Mkoani,Kangani,,30/05/2018,16,0,18
Mkoani,Mgagadu,,28/05/2018,15,0,15
Mkoani,Mizingani,,28/05/2018,24,0,25
Mkoani,Wambaa,,28/05/2018,1,0,1
Mkoani,Chumbageni,,28/05/2018,25,0,40
Mkoani,Mtangani,,28/05/2018,6,0,9
Mkoani,Chambani,,28/05/2018,14,0,16
Mkoani,Kengeja,,29/05/2018,32,0,32
Chakechake,Kibokoni,,28/05/2018,18,0,18
Chakechake,Pujini,,29/05/2018,14,0,14
Chakechake,Wesha,,30/05/2018,16,0,16
Chakechake,Ngambwa,,30/05/2018,16,0,16
Chakechake,Dodo,,30/05/2018,19,0,20
Chakechake,Kichungwani,,31/05/2018,32,0,32
Chakechake,Wara,,31/05/2018,7,0,13
Chakechake,Mvumoni,,29/05/2018,33,0,33
Chakechake,Mfikia,,29/05/2018,6,0,6
Chakechake,Chanjaani,,29/05/2018,33,0,36
Chakechake,Matale,,29/05/2018,80,0,80
Chakechake,Mjini ole,,28/05/2018,18,0,18
Chakechake,Mchanga mrima,,28/05/2018,19,0,20
Chakechake,Mbuzini,,28/05/2018,0,0,16
Chakechake,Ole,,28/05/2018,49,0,54
Chakechake,Uwandani,,28/05/2018,24,0,26
Chakechake,Shungi,,28/05/2018,12,0,18
Chakechake,Chonga,,28/05/2018,26,0,27
Chakechake,Mgogoni,,28/05/2018,37,0,45
Chakechake,Vitongoji,,28/05/2018,30,0,30
Chakechake,Ng'ambwa,,31/05/2018,28,0,29
Chakechake,Ndagoni,,30/05/2018,31,0,45
Chakechake,Tibirizi,,30/05/2018,4,0,4
Chakechake,Wawi,,31/05/2018,80,0,86
Chakechake,Kwale,,28/05/2018,5,0,7
Chakechake,Ziwani,,28/05/2018,44,0,45
Chakechake,Gombani,,30/05/2018,3,0,3
Chakechake,Mgelema,,30/05/2018,1,0,6
Micheweni,Tumbe Magharibi,,4/6/2018,42,0,44
Micheweni,Msuka Magharibi,,5/6/2018,4,0,5
Micheweni,Muhogoni,,6/6/2018,17,0,17
Micheweni,Msuka Mashariki,,5/6/2018,11,0,13
Micheweni,Sizini,,4/6/2018,8,0,22
Micheweni,Wingwi Mapofu,,5/6/2018,19,0,20
Micheweni,Makangale,,6/6/2018,8,0,14
Micheweni,Kifundi,,6/6/2018,9,0,17
Micheweni,Kipange,,4/6/2018,13,0,28
Micheweni,Konde,,5/6/2018,28,0,36
Micheweni,Kiuyu,,6/6/2018,6,0,6
Wete,Utaani,,4/6/2018,3,0,3
Wete,Gando,,6/6/2018,31,0,43
Wete,Kinyasini,,4/6/2018,23,0,27
Wete,Mtambwe Kaskazini,,6/6/2018,50,0,52
Wete,Chanjaani,,6/6/2018,9,0,14
Wete,Kisiwani,,5/6/2018,18,0,26
Wete,Mlindo,,5/6/2018,22,0,22
Wete,Mlindo,,5/6/2018,4,0,4
Wete,Mlindo,,5/6/2018,7,0,7
Wete,Mlindo,,5/6/2018,2,0,2
Wete,Mlindo,,5/6/2018,6,0,6
Wete,Jadida,,4/6/2018,1,0,1
Wete,Piki,,5/6/2018,25,0,26
Wete,Mgogoni,,4/6/2018,37,0,48
Wete,Finya,,5/6/2018,10,0,10
Wete,Mtemani,,4/6/2018,9,0,16
Wete,Limbani,,4/6/2018,19,0,25
Wete,Kizimbani,,4/6/2018,8,0,13
Wete,Selemu,,4/6/2018,4,0,4
Wete,Pandani,,4/6/2018,37,0,42
Wete,Shengejuu,,4/6/2018,23,0,23
Wete,Maziwani,,4/6/2018,4,0,5
Wete,Kiungoni,,5/6/2018,5,0,5
Wete,Kinyikani,,5/6/2018,14,0,14
Wete,Mzambarau Takao,,5/6/2018,21,0,27
Wete,Junguni,,6/6/2018,35,0,67
Wete,Ukunjwi,,6/6/2018,14,0,15
Wete,Mjini kiuyu,,5/6/2018,11,0,14
Wete,Fundo,,7/6/2018,11,0,19
Mkoani,Mbuguani,Tironi,18/09/2017,21,0,21
Mkoani,Shidi,Mdwambani,18/09/2017,4,0,4
Mkoani,Stahabu,Mtakuja,18/09/2017,1,0,1
Mkoani,Michenzani,Kizungu,18/09/2017,13,0,13
Mkoani,Mbuyuni,Chakaani,18/09/2017,14,0,14
Mkoani,Ng'ombeni,Makombeni,18/09/2017,7,0,7
Mkoani,Mjimbini,Mijimbini,18/09/2017,38,0,38
Mkoani,Mkanyageni,Tasini,18/09/2017,26,0,26
Mkoani,Chokocho,Ulende,18/09/2017,10,0,10
Mkoani,Uweleni,Uweleni,18/09/2017,20,0,20
Mkoani,Mtambile,Pondeani,19/09/2017,21,0,21
Mkoani,Mkungu,Mahuduthi,19/09/2017,55,0,55
Mkoani,Ngwachani,Tangani,19/09/2017,33,0,33
Mkoani,Kangani,Shukeni,19/09/2017,57,0,57
Mkoani,Mizingani,Mizingani,19/09/2017,34,0,34
Mkoani,Wambaa,Msiyakwe,19/09/2017,4,0,4
Mkoani,Chumbageni,Kunani,19/09/2017,29,0,29
Mkoani,Mtangani,Ndambani,20/09/2017,5,0,5
Mkoani,Chambani,Tumbini,20/09/2017,22,0,22
Mkoani,Mtangani,Kiziwa,20/09/2017,4,0,4
Mkoani,Mizingani,Kichujuu,21/09/2017,24,0,25
Mkoani,Kengeja,Mbuni,21/09/2017,45,0,45
Mkoani,Mkungu,Mtule,21/09/2017,7,0,7
Mkoani,Kangani,Kijicho,21/09/2017,13,0,13
Micheweni,Msuka  Magharibi,Msuka,2/10/2017,46,0,54
Micheweni,Tumbe Magharibi,Mafueni,2/10/2017,37,0,48
Micheweni,Msuka Mashariki,Sebleni,2/10/2017,22,0,23
Micheweni,Majenzi,Kwale,2/10/2017,4,0,8
Micheweni,Sizini,Chanjaani,2/10/2017,0,0,16
Micheweni,Wingwi Mapofu,Mapofu ulaya,2/10/2017,12,0,19
Micheweni,Shumba Vyamboni,Shumba Vyamboni,3/10/2017,31,0,34
Micheweni,Njuguni,Michungani,3/10/2017,13,0,13
Micheweni,Tondooni,Mali kumi,3/10/2017,14,0,30
Micheweni,Makangale,Mishelini,3/10/2017,34,0,34
Micheweni,Chimba,Chimba kizomwe,3/10/2017,23,0,56
Micheweni,Kifundi,Kifundi ,3/10/2017,32,0,37
Micheweni,Kinowe,Chanjaani,3/10/2017,7,0,10
Micheweni,Konde,,3/10/2017,2,0,3
Micheweni,Shumba Mjini,S/mjini,3/10/2017,0,0,5
Micheweni,Maziwa Ng'ombe,Maziwa ng'ombe,3/10/2017,0,0,2
Micheweni,Kifundi,Maili tisa,4/10/2017,6,0,11
Micheweni,Kiuyu,Chuo kiislam,4/10/2017,5,0,13
Micheweni,Tondooni,,4/10/2017,6,0,32
Wete,Mgogoni,Kwale,9/10/2017,35,0,56
Wete,Finya,Finya selemu,9/10/2017,26,0,27
Wete,Mtemani,Bubujiko,9/10/2017,4,0,9
Wete,Limbani,Kwa kibeberu,9/10/2017,13,0,29
Wete,Kizimbani,Kizimbani,9/10/2017,0,0,5
Wete,Selemu,K/ndege,9/10/2017,3,0,4
Wete,Pembeni,Chawanyangombe,10/10/2017,9,0,23
Wete,Pandani,Masipa,10/10/2017,0,0,36
Wete,Shengejuu,Shengejuu,10/10/2017,3,0,3
Wete,Maziwani,Maziwani,10/10/2017,5,0,6
Wete,Chwale,Chwale,10/10/2017,12,0,12
Wete,Kiungoni,Kwa mwana ,10/10/2017,30,0,32
Wete,Kinyikani,Kinyikani,10/10/2017,6,0,14
Wete,Mzambarauni,Machengwe juu,10/10/2017,1,0,8
Wete,Junguni,Madaniwa,10/10/2017,6,0,28
Wete,Kipangani,Kipangani,10/10/2017,6,0,6
Wete,Ukunjwi,Ukunjwi,10/10/2017,23,0,37
Wete,Junguni,Hospital,10/10/2017,18,0,38
Wete,Kiuyu kigongoni,Kiuyu kigongoni,10/10/2017,2,0,2
