DISTRICT,WARD_CURRENT,VILLAGE.SHEHIA,HumanFEMALEs_vill,HumanMALES_vill,DogsOwned,DogsStray_estimate1,DogsStray_estimate2,Easting,Northing,Mainland.Island
Micheweni,Tumbe,Tumbe Mashariki,3153,3081,13,12,12,587373,9452974,Mainland 
Micheweni,Msuka,Msuka Magharibi,2396,2346,28,16,16,581697,9455530,Mainland 
Micheweni,Konde,Konde,5002,4667,45,20,20,582840,9453450,Mainland 
Micheweni,Konde,Tondooni,1580,1420,56,12,12,576016,9454210,Mainland 
Micheweni,Konde,Makangale,1260,1207,68,36,36,576490,9457016,Mainland 
Micheweni,Msuka,Msuka Mashariki,2703,2581,30,36,36,581618,9456918,Mainland 
Micheweni,Mgogoni,Mgogoni,2057,1964,67,12,12,581895,9448128,Mainland 
Micheweni,Mgogoni,Kinyasini,1792,1407,44,12,12,582189,9444000,Mainland 
Micheweni,Tumbe,Sizini,2603,2706,18,9,9,589786,9447950,Mainland 
Micheweni,Micheweni,Shumba Mjini,2580,2663,36,8,8,591541,9450724,Mainland 
Micheweni,Kiuyu,Kiuyu Mbuyuni,4036,3578,32,14,14,595810,9452948,Mainland 
Micheweni,Kiuyu Maziwa N'gombe,Maziwa Ng'ombe,4308,2155,20,34,34,595631,9449088,Mainland 
Micheweni,Micheweni,Majenzi,2046,3540,4,9,9,592287,9449564,Mainland 
Micheweni,Micheweni,Mjini Wingwi,2423,2215,12,18,18,593054,9447738,Mainland 
Micheweni,Mgogoni,Finya,2818,1448,90,30,30,584764,9443562,Mainland 
Micheweni,Wingwi Mapofu,Wingwi Mapofu,2027,1815,12,15,15,589693,9443562,Mainland 
Micheweni,Shumba Viamboni,Shumba Viamboni,2054,1650,38,10,10,585575,9448914,Mainland 
Micheweni,Micheweni,Micheweni,4436,4074,15,15,15,592800,9449812,Mainland 
Micheweni,Kinowe,Chimba,2000,1500,36,11,11,584077,9450418,Mainland 
Micheweni,Wingwi/Njuguni,Wingwi Njuguni,1591,1113,9,17,17,590040,9444344,Mainland 
Micheweni,Shengejuu,Mtemani,2309,2230,26,12,12,591424,9443820,Mainland 
Micheweni,Wingwi/Njuguni,Wingwi Mjananza,1165,900,13,9,9,590941,9442916,Mainland 
Micheweni,Wingwi/Njuguni,Mlindo,1300,1172,9,4,4,589222,9443412,Mainland 
Micheweni,Shumba Viamboni,Mihogoni,1403,1251,52,25,25,587613,9446996,Mainland 
Micheweni,Konde,Kifundi,1542,1609,68,9,9,581475,9450494,Mainland 
Micheweni,Tumbe ,Tumbe Magharibi,2333,2234,11,10,10,586904,9452644,Mainland 
Micheweni,Kinowe,Kinowe,2558,2306,28,16,16,584002,9453294,Mainland 
Wete,Kiuyu,Kiuyu Kigongoni,1884,1949,NA,NA,NA,589681,9429998,Mainland 
Wete,Gando,Ukunjwi,1795,1848,88,0,0,578583,9443786,Mainland 
Wete,Ole,Kangagani,1724,1909,NA,NA,NA,591706,9429018,Mainland 
Wete,Ole,Ole,3624,3547,30,0,0,590059,9426784,Mainland 
Wete,Kiuyu,Kiuyu Minungwini,2895,2937,7,0,0,589607,9430954,Mainland 
Wete,utaani,Utaani,2021,1828,NA,NA,NA,581352,9440742,Mainland 
Wete,Shengejuu,Shengejuu,1176,1256,21,0,0,590074,9438184,Mainland 
Wete,Mtambwe Kaskazini,Mtambwe Kaskazini,3483,3550,150,0,0,579161,9437310,Mainland 
