trait	location0	location1	location2	host1	host2	date
JX473838_2009_NAM	External	Namibia	South	dog	dog	2009
JX473839_2009_NAM	External	Namibia	South	dog	dog	2009
JX473840_2009_NAM	External	Namibia	South	dog	dog	2009
JX473841_2009_NAM	External	Namibia	South	dog	dog	2009
KT336432_2012_ZAF	External	South Africa	South	dog	dog	2012
KT336433_1991_ZWE	External	Zimbabwe	South	dog	dog	1991
KT336434_1992_ZWE	External	Zimbabwe	South	dog	dog	1992
KT336435_1993_ZWE	External	Zimbabwe	South	dog	dog	1993
KT336436_2012_ZAF	External	South Africa	South	dog	dog	2012
KT336437_2012_ZAF	External	South Africa	South	dog	dog	2012
KX148103_1981_ZAF	External	South Africa	South	dog	dog	1981
KX148203_1986_MOZ	External	Mozambique	South	dog	dog	1986
KX148204_1992_NAM	External	Namibia	South	dog	dog	1992
KX148205_1994_RWA	External	Rwanda	North	dog	dog	1994
KX148207_2014_KEN	External	Kenya	North	dog	dog	2014
KX148208_1992_CAF	External	Central African Republic	North	dog	dog	1992
LC029889_2009_UGA	External	Uganda	North	dog	dog	2009
MG458318_2008_ZAF	External	South Africa	South	dog	dog	2008
MN726814_20-05-2018_KEN	External	Kenya	North	dog	dog	2018.380822
MN726816_07-02-2018_KEN	External	Kenya	North	dog	dog	2018.10137
MN726821_08-07-2018_KEN	External	Kenya	North	dog	dog	2018.515068
MN726831_17-05-2018_KEN	External	Kenya	North	dog	dog	2018.372603
MT454631_2015_ZAF	External	South Africa	South	dog	dog	2015
MT454632_2015_ZAF	External	South Africa	South	dog	dog	2015
MT454633_2015_ZAF	External	South Africa	South	dog	dog	2015
MT454634_2015_ZAF	External	South Africa	South	dog	dog	2015
MT454635_2015_ZAF	External	South Africa	South	dog	dog	2015
MT454636_2016_ZAF	External	South Africa	South	dog	dog	2016
MT454637_2016_ZAF	External	South Africa	South	dog	dog	2016
MT454638_2016_ZAF	External	South Africa	South	dog	dog	2016
MT454639_2016_ZAF	External	South Africa	South	dog	dog	2016
MT454640_2016_ZAF	External	South Africa	South	dog	dog	2016
MT454641_2016_ZAF	External	South Africa	South	dog	dog	2016
MT454642_2016_ZAF	External	South Africa	South	dog	dog	2016
MT454643_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454644_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454645_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454646_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454647_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454648_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454649_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454650_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454651_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454652_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454653_2017_ZAF	External	South Africa	South	dog	dog	2017
MT454654_2017_ZAF	External	South Africa	South	dog	dog	2017
PM015_09-11-2016_Pemba.fasta	Pemba	Kaskazini	Kaskazini	dog	dog	2016.855191
PM018_17-02-2017_Pemba.fasta	Pemba	Kaskazini	Kaskazini	dog	dog	2017.128767
