"Region","District","Ward","Village","Population","matchWard","DW","matchVillage","DWV"
"Kaskazini Pemba","Wete","Kipangani","Kipangani Juu",1896,"Kipangani","Wete Kipangani","Kipangani Juu","Wete Kipangani kipangani juu"
"Kaskazini Pemba","Wete","Kipangani","Kipangani Chini",2345,"Kipangani","Wete Kipangani","Kipangani Chini","Wete Kipangani kipangani chini"
"Kaskazini Pemba","Wete","Mtambwe Kaskazini","Nyali",1055,"Mtambwe Kaskazini","Wete Mtambwe Kaskazini","Nyali","Wete Mtambwe Kaskazini nyali"
"Kaskazini Pemba","Wete","Mtambwe Kaskazini","Uwondwe",866,"Mtambwe Kaskazini","Wete Mtambwe Kaskazini","Uwondwe","Wete Mtambwe Kaskazini uwondwe"
"Kaskazini Pemba","Wete","Mtambwe Kaskazini","Chanjaani",714,"Mtambwe Kaskazini","Wete Mtambwe Kaskazini","Chanjaani","Wete Mtambwe Kaskazini chanjaani"
"Kaskazini Pemba","Wete","Mtambwe Kaskazini","Kiapaka",683,"Mtambwe Kaskazini","Wete Mtambwe Kaskazini","Kiapaka","Wete Mtambwe Kaskazini kiapaka"
"Kaskazini Pemba","Wete","Mtambwe Kaskazini","Mpaka Njia",761,"Mtambwe Kaskazini","Wete Mtambwe Kaskazini","Mpaka Njia","Wete Mtambwe Kaskazini mpaka njia"
"Kaskazini Pemba","Wete","Mtambwe Kaskazini","Kidundo",651,"Mtambwe Kaskazini","Wete Mtambwe Kaskazini","Kidundo","Wete Mtambwe Kaskazini kidundo"
"Kaskazini Pemba","Wete","Mtambwe Kaskazini","Mtambwe Mkuu",282,"Mtambwe Kaskazini","Wete Mtambwe Kaskazini","Mtambwe Mkuu","Wete Mtambwe Kaskazini mtambwe mkuu"
"Kaskazini Pemba","Wete","Mtambwe Kaskazini","Jambaji",405,"Mtambwe Kaskazini","Wete Mtambwe Kaskazini","Jambaji","Wete Mtambwe Kaskazini jambaji"
"Kaskazini Pemba","Wete","Fundo","Kimeleyani",573,"Fundo","Wete Fundo","Kimeleyani","Wete Fundo kimeleyani"
"Kaskazini Pemba","Wete","Fundo","Ndooni",332,"Fundo","Wete Fundo","Ndooni","Wete Fundo ndooni"
"Kaskazini Pemba","Wete","Fundo","Chumbuni",419,"Fundo","Wete Fundo","Chumbuni","Wete Fundo chumbuni"
"Kaskazini Pemba","Wete","Fundo","Mabaoni",139,"Fundo","Wete Fundo","Mabaoni","Wete Fundo mabaoni"
"Kaskazini Pemba","Wete","Fundo","Uvinje",162,"Fundo","Wete Fundo","Uvinje","Wete Fundo uvinje"
"Kaskazini Pemba","Wete","Mchanga Mdogo","Kitambuu",957,"Mchanga Mdogo","Wete Mchanga Mdogo","Kitambuu","Wete Mchanga Mdogo kitambuu"
"Kaskazini Pemba","Wete","Mchanga Mdogo","Kiwani",503,"Mchanga Mdogo","Wete Mchanga Mdogo","Kiwani","Wete Mchanga Mdogo kiwani"
"Kaskazini Pemba","Wete","Mchanga Mdogo","Mchanga Mdogo",1328,"Mchanga Mdogo","Wete Mchanga Mdogo","Mchanga Mdogo","Wete Mchanga Mdogo mchanga mdogo"
"Kaskazini Pemba","Wete","Mchanga Mdogo","Gombe Ume",492,"Mchanga Mdogo","Wete Mchanga Mdogo","Gombeume","Wete Mchanga Mdogo gombeume"
