"District","Shehia","subvillage","vacc_date","dogs_vaccinated","Cats_vaccinated","total_dog_estimate","DW"
"Mkoani","Mbuguani","","31/05/2018",5,0,6,"Mkoani_Mbuguani"
"Mkoani","Changaweni","","31/05/2018",6,0,10,"Mkoani_Changaweni"
"Mkoani","Minazini","","31/05/2018",12,0,12,"Mkoani_Minazini"
"Mkoani","Kuukuu","","30/05/2018",8,0,8,"Mkoani_Kuukuu"
"Mkoani","Jombwe","","29/05/2018",14,0,14,"Mkoani_Jombwe"
"Mkoani","Kengeja","","29/05/2018",11,0,16,"Mkoani_Kengeja"
"Chake Chake","Dodo","","28/05/2018",20,0,20,"Chake Chake_Dodo"
"Mkoani","Muambe","","29/05/2018",20,0,23,"Mkoani_Muambe"
"Mkoani","Kiwani","","29/05/2018",6,0,6,"Mkoani_Kiwani"
"Mkoani","Makombeni","","31/05/2018",11,0,11,"Mkoani_Makombeni"
"Mkoani","Ukutini","","28/05/2018",6,0,6,"Mkoani_Ukutini"
"Mkoani","Shidi","","30/05/2018",8,0,8,"Mkoani_Shidi"
"Mkoani","Kendwa","","29/05/2018",9,0,9,"Mkoani_Kendwa"
"Mkoani","Stahabu","","30/05/2018",15,0,15,"Mkoani_Stahabu"
"Mkoani","Michenzani","","30/05/2018",13,0,15,"Mkoani_Michenzani"
"Mkoani","Mbuyuni","","30/05/2018",7,0,9,"Mkoani_Mbuyuni"
"Mkoani","Ng'ombeni","","31/05/2018",5,0,7,"Mkoani_Ng'ombeni"
"Mkoani","Mjimbini","","30/05/2018",20,0,27,"Mkoani_Mjimbini"
"Mkoani","Mkanyageni","","30/05/2018",14,0,16,"Mkoani_Mkanyageni"
"Mkoani","Chokocho","","31/05/2018",6,0,8,"Mkoani_Chokocho"
"Mkoani","Uweleni","","28/05/2018",6,0,8,"Mkoani_Uweleni"
"Mkoani","Mtambile","","30/05/2018",1,0,1,"Mkoani_Mtambile"
"Mkoani","Mkungu","","29/05/2018",12,0,13,"Mkoani_Mkungu"
"Mkoani","Ngwachani","","29/05/2018",27,0,36,"Mkoani_Ngwachani"
"Mkoani","Kangani","","30/05/2018",16,0,18,"Mkoani_Kangani"
"Mkoani","Mgagadu","","28/05/2018",15,0,15,"Mkoani_Mgagadu"
"Mkoani","Mizingani","","28/05/2018",24,0,25,"Mkoani_Mizingani"
"Mkoani","Wambaa","","28/05/2018",1,0,1,"Mkoani_Wambaa"
"Mkoani","Chumbageni","","28/05/2018",25,0,40,"Mkoani_Chumbageni"
"Mkoani","Mtangani","","28/05/2018",6,0,9,"Mkoani_Mtangani"
"Mkoani","Chambani","","28/05/2018",14,0,16,"Mkoani_Chambani"
"Mkoani","Kengeja","","29/05/2018",32,0,32,"Mkoani_Kengeja"
"Chake Chake","Kibokoni","","28/05/2018",18,0,18,"Chake Chake_Kibokoni"
"Chake Chake","Pujini","","29/05/2018",14,0,14,"Chake Chake_Pujini"
"Chake Chake","Wesha","","30/05/2018",16,0,16,"Chake Chake_Wesha"
"Chake Chake","Ng'ambwa","","30/05/2018",16,0,16,"Chake Chake_Ng'ambwa"
"Chake Chake","Dodo","","30/05/2018",19,0,20,"Chake Chake_Dodo"
"Chake Chake","Kichungwani","","31/05/2018",32,0,32,"Chake Chake_Kichungwani"
"Chake Chake","Wara","","31/05/2018",7,0,13,"Chake Chake_Wara"
"Chake Chake","Mvumoni","","29/05/2018",33,0,33,"Chake Chake_Mvumoni"
"Chake Chake","Mfikiwa","","29/05/2018",6,0,6,"Chake Chake_Mfikiwa"
"Chake Chake","Chanjaani","","29/05/2018",33,0,36,"Chake Chake_Chanjaani"
"Chake Chake","Matale","","29/05/2018",80,0,80,"Chake Chake_Matale"
"Wete","Mjini Ole","","28/05/2018",18,0,18,"Wete_Mjini Ole"
"Wete","Mchanga Mdogo","","28/05/2018",19,0,20,"Wete_Mchanga Mdogo"
"Wete","Ole","","28/05/2018",49,0,54,"Wete_Ole"
"Chake Chake","Uwandani","","28/05/2018",24,0,26,"Chake Chake_Uwandani"
"Chake Chake","Shungi","","28/05/2018",12,0,18,"Chake Chake_Shungi"
"Chake Chake","Chonga","","28/05/2018",26,0,27,"Chake Chake_Chonga"
"Chake Chake","Mgogoni","","28/05/2018",37,0,45,"Chake Chake_Mgogoni"
"Chake Chake","Vitongoji","","28/05/2018",30,0,30,"Chake Chake_Vitongoji"
"Chake Chake","Ng'ambwa","","31/05/2018",28,0,29,"Chake Chake_Ng'ambwa"
"Chake Chake","Ndagoni","","30/05/2018",31,0,45,"Chake Chake_Ndagoni"
"Chake Chake","Tibirinzi","","30/05/2018",4,0,4,"Chake Chake_Tibirinzi"
"Chake Chake","Wawi","","31/05/2018",80,0,86,"Chake Chake_Wawi"
"Chake Chake","Kwale","","28/05/2018",5,0,7,"Chake Chake_Kwale"
"Chake Chake","Ziwani","","28/05/2018",44,0,45,"Chake Chake_Ziwani"
"Chake Chake","Ng'ambwa","","30/05/2018",3,0,3,"Chake Chake_Ng'ambwa"
"Chake Chake","Mgelema","","30/05/2018",1,0,6,"Chake Chake_Mgelema"
"Micheweni","Tumbe Magharibi","","4/6/2018",42,0,44,"Micheweni_Tumbe Magharibi"
"Micheweni","Msuka Magharibi","","5/6/2018",4,0,5,"Micheweni_Msuka Magharibi"
"Micheweni","Mihogoni","","6/6/2018",17,0,17,"Micheweni_Mihogoni"
"Micheweni","Msuka Mashariki","","5/6/2018",11,0,13,"Micheweni_Msuka Mashariki"
"Micheweni","Sizini","","4/6/2018",8,0,22,"Micheweni_Sizini"
"Micheweni","Wingwi Mapofu","","5/6/2018",19,0,20,"Micheweni_Wingwi Mapofu"
"Micheweni","Makangale","","6/6/2018",8,0,14,"Micheweni_Makangale"
"Micheweni","Kifundi","","6/6/2018",9,0,17,"Micheweni_Kifundi"
"Micheweni","Konde","","4/6/2018",13,0,28,"Micheweni_Konde"
"Micheweni","Konde","","5/6/2018",28,0,36,"Micheweni_Konde"
"Micheweni","Kiuyu Mbuyuni","","6/6/2018",6,0,6,"Micheweni_Kiuyu Mbuyuni"
"Wete","Utaani","","4/6/2018",3,0,3,"Wete_Utaani"
"Wete","Gando","","6/6/2018",31,0,43,"Wete_Gando"
"Micheweni","Kinyasini","","4/6/2018",23,0,27,"Micheweni_Kinyasini"
"Wete","Mtambwe Kaskazini","","6/6/2018",50,0,52,"Wete_Mtambwe Kaskazini"
"Wete","Mtambwe Kaskazini","","6/6/2018",9,0,14,"Wete_Mtambwe Kaskazini"
"Wete","Kisiwani","","5/6/2018",18,0,26,"Wete_Kisiwani"
"Wete","Pandani","","5/6/2018",22,0,22,"Wete_Pandani"
"Wete","Pandani","","5/6/2018",4,0,4,"Wete_Pandani"
"Wete","Pandani","","5/6/2018",7,0,7,"Wete_Pandani"
"Wete","Pandani","","5/6/2018",2,0,2,"Wete_Pandani"
"Wete","Pandani","","5/6/2018",6,0,6,"Wete_Pandani"
"Wete","Jadida","","4/6/2018",1,0,1,"Wete_Jadida"
"Wete","Piki","","5/6/2018",25,0,26,"Wete_Piki"
"Micheweni","Mgogoni","","4/6/2018",37,0,48,"Micheweni_Mgogoni"
"Micheweni","Finya","","5/6/2018",10,0,10,"Micheweni_Finya"
"Micheweni","Mtemani","","4/6/2018",9,0,16,"Micheweni_Mtemani"
"Wete","Limbani","","4/6/2018",19,0,25,"Wete_Limbani"
"Wete","Kizimbani","","4/6/2018",8,0,13,"Wete_Kizimbani"
"Wete","Selem","","4/6/2018",4,0,4,"Wete_Selem"
"Wete","Pandani","","4/6/2018",37,0,42,"Wete_Pandani"
"Wete","Shengejuu","","4/6/2018",23,0,23,"Wete_Shengejuu"
"Wete","Maziwani","","4/6/2018",4,0,5,"Wete_Maziwani"
"Wete","Kiungoni","","5/6/2018",5,0,5,"Wete_Kiungoni"
"Wete","Kinyikani","","5/6/2018",14,0,14,"Wete_Kinyikani"
"Wete","Mzambarauni Takao","","5/6/2018",21,0,27,"Wete_Mzambarauni Takao"
"Wete","Junguni","","6/6/2018",35,0,67,"Wete_Junguni"
"Wete","Ukunjwi","","6/6/2018",14,0,15,"Wete_Ukunjwi"
"Wete","Kiuyu Minungwini","","5/6/2018",11,0,14,"Wete_Kiuyu Minungwini"
"Wete","Fundo","","7/6/2018",11,0,19,"Wete_Fundo"
"Mkoani","Mbuguani","Tironi","18/09/2017",21,0,21,"Mkoani_Mbuguani"
"Mkoani","Shidi","Mdwambani","18/09/2017",4,0,4,"Mkoani_Shidi"
"Mkoani","Stahabu","Mtakuja","18/09/2017",1,0,1,"Mkoani_Stahabu"
"Mkoani","Michenzani","Kizungu","18/09/2017",13,0,13,"Mkoani_Michenzani"
"Mkoani","Mbuyuni","Chakaani","18/09/2017",14,0,14,"Mkoani_Mbuyuni"
"Mkoani","Ng'ombeni","Makombeni","18/09/2017",7,0,7,"Mkoani_Ng'ombeni"
"Mkoani","Mjimbini","Mijimbini","18/09/2017",38,0,38,"Mkoani_Mjimbini"
"Mkoani","Mkanyageni","Tasini","18/09/2017",26,0,26,"Mkoani_Mkanyageni"
"Mkoani","Chokocho","Ulende","18/09/2017",10,0,10,"Mkoani_Chokocho"
"Mkoani","Uweleni","Uweleni","18/09/2017",20,0,20,"Mkoani_Uweleni"
"Mkoani","Mtambile","Pondeani","19/09/2017",21,0,21,"Mkoani_Mtambile"
"Mkoani","Mkungu","Mahuduthi","19/09/2017",55,0,55,"Mkoani_Mkungu"
"Mkoani","Ngwachani","Tangani","19/09/2017",33,0,33,"Mkoani_Ngwachani"
"Mkoani","Kangani","Shukeni","19/09/2017",57,0,57,"Mkoani_Kangani"
"Mkoani","Mizingani","Mizingani","19/09/2017",34,0,34,"Mkoani_Mizingani"
"Mkoani","Wambaa","Msiyakwe","19/09/2017",4,0,4,"Mkoani_Wambaa"
"Mkoani","Chumbageni","Kunani","19/09/2017",29,0,29,"Mkoani_Chumbageni"
"Mkoani","Mtangani","Ndambani","20/09/2017",5,0,5,"Mkoani_Mtangani"
"Mkoani","Chambani","Tumbini","20/09/2017",22,0,22,"Mkoani_Chambani"
"Mkoani","Mtangani","Kiziwa","20/09/2017",4,0,4,"Mkoani_Mtangani"
"Mkoani","Mizingani","Kichujuu","21/09/2017",24,0,25,"Mkoani_Mizingani"
"Mkoani","Kengeja","Mbuni","21/09/2017",45,0,45,"Mkoani_Kengeja"
"Mkoani","Mkungu","Mtule","21/09/2017",7,0,7,"Mkoani_Mkungu"
"Mkoani","Kangani","Kijicho","21/09/2017",13,0,13,"Mkoani_Kangani"
"Micheweni","Msuka Magharibi","Msuka","2/10/2017",46,0,54,"Micheweni_Msuka Magharibi"
"Micheweni","Tumbe Magharibi","Mafueni","2/10/2017",37,0,48,"Micheweni_Tumbe Magharibi"
"Micheweni","Msuka Mashariki","Sebleni","2/10/2017",22,0,23,"Micheweni_Msuka Mashariki"
"Micheweni","Majenzi","Kwale","2/10/2017",4,0,8,"Micheweni_Majenzi"
