"district","shehia","d_s","year","dog_pop_est","dogs_vacc","vc_est","vc_waning_est","human_exposures","animal_cases"
"Wete","Kipangani","Wete_Kipangani",1,4,0,0,0,0,0
"Wete","Mtambwe Kaskazini","Wete_Mtambwe Kaskazini",1,150,25,0.166666666666667,0.104782391464309,0,0
"Wete","Fundo","Wete_Fundo",1,89,8,0.0898876404494382,0.0565118515762564,0,0
"Wete","Mchanga Mdogo","Wete_Mchanga Mdogo",1,25,9,0.36,0.226329965562907,0,0
"Wete","Kambini","Wete_Kambini",1,15,0,0,0,0,0
"Wete","Kojani","Wete_Kojani",1,66,0,0,0,0,0
"Wete","Ole","Wete_Ole",1,30,24,0.8,0.502955479028682,0,0
"Wete","Kangagani","Wete_Kangagani",1,13,0,0,0,0,0
"Wete","Kiuyu Minungwini","Wete_Kiuyu Minungwini",1,7,0,0,0,0,0
"Wete","Piki","Wete_Piki",1,34,13,0.382352941176471,0.240383133359296,0,0
"Wete","Kisiwani","Wete_Kisiwani",1,65,9,0.138461538461538,0.0870499867549641,0,0
"Wete","Gando","Wete_Gando",1,70,16,0.228571428571429,0.143701565436766,0,0
"Wete","Ukunjwi","Wete_Ukunjwi",1,88,0,0,0,0,0
"Wete","Pandani","Wete_Pandani",1,31,30,0.967741935483871,0.608413885921792,0,0
"Wete","Shengejuu","Wete_Shengejuu",1,21,12,0.571428571428571,0.359253913591916,0,0
"Wete","Bopwe","Wete_Bopwe",1,23,0,0,0,0,0
"Wete","Utaani","Wete_Utaani",1,19,0,0,0,0,0
"Wete","Mtambwe Kusini","Wete_Mtambwe Kusini",1,134,0,0,0,0,0
"Wete","Selem","Wete_Selem",1,12,0,0,0,0,0
"Wete","Kinyikani","Wete_Kinyikani",1,16,0,0,0,0,0
"Wete","Chwale","Wete_Chwale",1,17,0,0,0,0,0
"Wete","Maziwani","Wete_Maziwani",1,7,0,0,0,0,0
"Wete","Mpambani","Wete_Mpambani",1,28,0,0,0,0,0
"Wete","Mjini Ole","Wete_Mjini Ole",1,12,9,0.75,0.471520761589389,0,0
"Wete","Kiuyu Kigongoni","Wete_Kiuyu Kigongoni",1,13,0,0,0,0,0
"Wete","Mzambarauni Takao","Wete_Mzambarauni Takao",1,45,11,0.244444444444444,0.153680840814319,0,0
"Wete","Junguni","Wete_Junguni",1,40,18,0.45,0.282912456953633,0,0
"Wete","Kiungoni","Wete_Kiungoni",1,21,0,0,0,0,0
"Wete","Pembeni","Wete_Pembeni",1,10,0,0,0,0,0
"Wete","Kizimbani","Wete_Kizimbani",1,18,0,0,0,0,0
"Wete","Limbani","Wete_Limbani",1,44,10,0.227272727272727,0.142885079269512,0,0
"Wete","Jadida","Wete_Jadida",1,33,0,0,0,0,0
"Micheweni","Micheweni","Micheweni_Micheweni",1,30,0,0,0,0,0
"Micheweni","Msuka Mashariki","Micheweni_Msuka Mashariki",1,66,0,0,0,0,0
"Micheweni","Kinowe","Micheweni_Kinowe",1,44,0,0,0,0,0
"Micheweni","Tumbe Mashariki","Micheweni_Tumbe Mashariki",1,25,0,0,0,0,0
"Micheweni","Mgogoni","Micheweni_Mgogoni",1,79,18,0.227848101265823,0.143246813647409,0,0
"Micheweni","Shumba Viamboni","Micheweni_Shumba Viamboni",1,48,0,0,0,0,0
"Micheweni","Finya","Micheweni_Finya",1,120,12,0.1,0.0628694348785852,0,0
"Micheweni","Konde","Micheweni_Konde",1,65,21,0.323076923076923,0.203116635761583,0,0
"Micheweni","Wingwi Mapofu","Micheweni_Wingwi Mapofu",1,27,10,0.37037037037037,0.232849758809575,0,0
"Micheweni","Kiuyu Mbuyuni","Micheweni_Kiuyu Mbuyuni",1,46,0,0,0,0,0
"Micheweni","Makangale","Micheweni_Makangale",1,104,0,0,0,0,0
"Micheweni","Wingwi Njuguni","Micheweni_Wingwi Njuguni",1,26,0,0,0,0,0
"Micheweni","Shumba Mjini","Micheweni_Shumba Mjini",1,44,0,0,0,0,0
"Micheweni","Majenzi","Micheweni_Majenzi",1,13,0,0,0,0,0
"Micheweni","Mjini Wingwi","Micheweni_Mjini Wingwi",1,30,0,0,0,0,0
"Micheweni","Msuka Magharibi","Micheweni_Msuka Magharibi",1,44,0,0,0,0,0
"Micheweni","Chimba","Micheweni_Chimba",1,47,0,0,0,0,0
"Micheweni","Tumbe Magharibi","Micheweni_Tumbe Magharibi",1,21,21,1,0.628694348785852,0,0
"Micheweni","Sizini","Micheweni_Sizini",1,27,0,0,0,0,0
"Micheweni","Kinyasini","Micheweni_Kinyasini",1,56,11,0.196428571428571,0.123493532797221,0,0
"Micheweni","Mihogoni","Micheweni_Mihogoni",1,77,8,0.103896103896104,0.0653188933803483,0,0
"Micheweni","Kifundi","Micheweni_Kifundi",1,77,0,0,0,0,0
"Micheweni","Maziwa Ng'ombe","Micheweni_Maziwa Ng'ombe",1,54,0,0,0,0,0
"Micheweni","Tondooni","Micheweni_Tondooni",1,68,0,0,0,0,0
"Micheweni","Mtemani","Micheweni_Mtemani",1,38,0,0,0,0,0
"Micheweni","Wingwi Mjananza","Micheweni_Wingwi Mjananza",1,22,0,0,0,0,0
"Micheweni","Mlindo","Micheweni_Mlindo",1,13,0,0,0,0,0
"Chake Chake","Chanjaani","Chake Chake_Chanjaani",1,47,15,0.319148936170213,0.200647132591229,0,0
"Chake Chake","Wawi","Chake Chake_Wawi",1,74,40,0.540540540540541,0.339834783127488,0,0
"Chake Chake","Pujini","Chake Chake_Pujini",1,12,7,0.583333333333333,0.36673837012508,0,0
"Chake Chake","Ziwani","Chake Chake_Ziwani",1,53,22,0.415094339622642,0.26096746553375,0,0
"Chake Chake","Ndagoni","Chake Chake_Ndagoni",1,21,16,0.761904761904762,0.479005218122554,0,0
"Chake Chake","Kwale","Chake Chake_Kwale",1,5,0,0,0,0,0
"Chake Chake","Vitongoji","Chake Chake_Vitongoji",1,33,15,0.454545454545455,0.285770158539024,0,0
"Chake Chake","Ng'ambwa","Chake Chake_Ng'ambwa",1,63,22,0.349206349206349,0.219544058306171,0,0
"Chake Chake","Shungi","Chake Chake_Shungi",1,20,0,0,0,0,0
