"DISTRICT","WARD_CURRENT","VILLAGE.SHEHIA","HumanFEMALEs_vill","HumanMALES_vill","DogsOwned","DogsStray_estimate1","DogsStray_estimate2","Easting","Northing","Mainland.Island","DW","ward_match","totalHumans","DogsStray_estimate_mean","totalDogs","month"
"Micheweni","Tumbe","Tumbe Mashariki",3153,3081,13,12,12,587373,9452974,"Mainland ","Micheweni_Tumbe Mashariki",36,6234,12,25,31
"Micheweni","Msuka","Msuka Magharibi",2396,2346,28,16,16,581697,9455530,"Mainland ","Micheweni_Msuka Magharibi",48,4742,16,44,30
"Micheweni","Konde","Konde",5002,4667,45,20,20,582840,9453450,"Mainland ","Micheweni_Konde",40,9669,20,65,30
"Micheweni","Konde","Tondooni",1580,1420,56,12,12,576016,9454210,"Mainland ","Micheweni_Tondooni",56,3000,12,68,30
"Micheweni","Konde","Makangale",1260,1207,68,36,36,576490,9457016,"Mainland ","Micheweni_Makangale",43,2467,36,104,30
"Micheweni","Msuka","Msuka Mashariki",2703,2581,30,36,36,581618,9456918,"Mainland ","Micheweni_Msuka Mashariki",34,5284,36,66,30
"Micheweni","Mgogoni","Mgogoni",2057,1964,67,12,12,581895,9448128,"Mainland ","Micheweni_Mgogoni",37,4021,12,79,30
"Micheweni","Mgogoni","Kinyasini",1792,1407,44,12,12,582189,9444000,"Mainland ","Micheweni_Kinyasini",52,3199,12,56,30
"Micheweni","Tumbe","Sizini",2603,2706,18,9,9,589786,9447950,"Mainland ","Micheweni_Sizini",51,5309,9,27,31
"Micheweni","Micheweni","Shumba Mjini",2580,2663,36,8,8,591541,9450724,"Mainland ","Micheweni_Shumba Mjini",45,5243,8,44,30
"Micheweni","Kiuyu","Kiuyu Mbuyuni",4036,3578,32,14,14,595810,9452948,"Mainland ","Micheweni_Kiuyu Mbuyuni",42,7614,14,46,31
"Micheweni","Kiuyu Maziwa N'gombe","Maziwa Ng'ombe",4308,2155,20,34,34,595631,9449088,"Mainland ","Micheweni_Maziwa Ng'ombe",55,6463,34,54,30
"Micheweni","Micheweni","Majenzi",2046,3540,4,9,9,592287,9449564,"Mainland ","Micheweni_Majenzi",46,5586,9,13,30
"Micheweni","Micheweni","Mjini Wingwi",2423,2215,12,18,18,593054,9447738,"Mainland ","Micheweni_Mjini Wingwi",47,4638,18,30,30
"Micheweni","Mgogoni","Finya",2818,1448,90,30,30,584764,9443562,"Mainland ","Micheweni_Finya",39,4266,30,120,30
"Micheweni","Wingwi Mapofu","Wingwi Mapofu",2027,1815,12,15,15,589693,9443562,"Mainland ","Micheweni_Wingwi Mapofu",41,3842,15,27,31
"Micheweni","Shumba Viamboni","Shumba Viamboni",2054,1650,38,10,10,585575,9448914,"Mainland ","Micheweni_Shumba Viamboni",38,3704,10,48,31
"Micheweni","Micheweni","Micheweni",4436,4074,15,15,15,592800,9449812,"Mainland ","Micheweni_Micheweni",33,8510,15,30,31
"Micheweni","Kinowe","Chimba",2000,1500,36,11,11,584077,9450418,"Mainland ","Micheweni_Chimba",49,3500,11,47,30
"Micheweni","Wingwi/Njuguni","Wingwi Njuguni",1591,1113,9,17,17,590040,9444344,"Mainland ","Micheweni_Wingwi Njuguni",44,2704,17,26,31
"Micheweni","Shengejuu","Mtemani",2309,2230,26,12,12,591424,9443820,"Mainland ","Micheweni_Mtemani",57,4539,12,38,30
"Micheweni","Wingwi/Njuguni","Wingwi Mjananza",1165,900,13,9,9,590941,9442916,"Mainland ","Micheweni_Wingwi Mjananza",58,2065,9,22,30
"Micheweni","Wingwi/Njuguni","Mlindo",1300,1172,9,4,4,589222,9443412,"Mainland ","Micheweni_Mlindo",59,2472,4,13,30
"Micheweni","Shumba Viamboni","Mihogoni",1403,1251,52,25,25,587613,9446996,"Mainland ","Micheweni_Mihogoni",53,2654,25,77,30
"Micheweni","Konde","Kifundi",1542,1609,68,9,9,581475,9450494,"Mainland ","Micheweni_Kifundi",54,3151,9,77,30
"Micheweni","Tumbe ","Tumbe Magharibi",2333,2234,11,10,10,586904,9452644,"Mainland ","Micheweni_Tumbe Magharibi",50,4567,10,21,31
"Micheweni","Kinowe","Kinowe",2558,2306,28,16,16,584002,9453294,"Mainland ","Micheweni_Kinowe",35,4864,16,44,30
"Wete","Kiuyu","Kiuyu Kigongoni",1884,1949,NA,NA,NA,589681,9429998,"Mainland ","Wete_Kiuyu Kigongoni",25,3833,NA,NA,30
"Wete","Gando","Ukunjwi",1795,1848,88,0,0,578583,9443786,"Mainland ","Wete_Ukunjwi",13,3643,0,88,30
"Wete","Ole","Kangagani",1724,1909,NA,NA,NA,591706,9429018,"Mainland ","Wete_Kangagani",8,3633,NA,NA,30
"Wete","Ole","Ole",3624,3547,30,0,0,590059,9426784,"Mainland ","Wete_Ole",7,7171,0,30,30
"Wete","Kiuyu","Kiuyu Minungwini",2895,2937,7,0,0,589607,9430954,"Mainland ","Wete_Kiuyu Minungwini",9,5832,0,7,30
"Wete","utaani","Utaani",2021,1828,NA,NA,NA,581352,9440742,"Mainland ","Wete_Utaani",17,3849,NA,NA,30
"Wete","Shengejuu","Shengejuu",1176,1256,21,0,0,590074,9438184,"Mainland ","Wete_Shengejuu",15,2432,0,21,30
"Wete","Mtambwe Kaskazini","Mtambwe Kaskazini",3483,3550,150,0,0,579161,9437310,"Mainland ","Wete_Mtambwe Kaskazini",2,7033,0,150,30
"Wete","Kipangani","Selem",1344,1191,NA,NA,NA,580048,9440986,"Mainland ","Wete_Selem",19,2535,NA,NA,30
"Wete","Pandani","Pandani",2947,2561,31,0,0,586185,9440942,"Island","Wete_Pandani",14,5508,0,31,30
"Wete","Piki","Mzambarauni Takao",1519,1489,NA,NA,NA,585358,9440986,"Mainland","Wete_Mzambarauni Takao",26,3008,NA,NA,30
"Wete","Kisiwani","Kisiwani",1755,1635,NA,NA,NA,585073,9431428,"Mainland","Wete_Kisiwani",11,3390,NA,NA,30
"Wete","M/Mdogo","Kinyikani",1249,1183,16,0,0,587016,9434692,"Mainland","Wete_Kinyikani",20,2432,0,16,30
"Wete","Kiungoni","Kiungoni",2610,2652,21,0,0,590071,9441184,"Mainland","Wete_Kiungoni",28,5262,0,21,30
"Wete","Utaani","Limbani",2013,1828,44,0,0,583298,9439736,"Mainland","Wete_Limbani",31,3841,0,44,30
"Wete","Kojani","Kojani",2361,2238,52,14,14,593492,9436440,"Island","Wete_Kojani",6,4599,14,66,30
"Wete","Utaani","Jadida",3014,2999,NA,NA,NA,580934,9440460,"Mainland","Wete_Jadida",32,6013,NA,NA,30
"Wete","Bobwe","Kizimbani",3022,2876,NA,NA,NA,581233,9441204,"Mainland","Wete_Kizimbani",30,5898,NA,NA,30
"Wete","Gando","Bopwe",2969,2669,NA,NA,NA,580572,9441632,"Mainland","Wete_Bopwe",16,5638,NA,NA,30
"Wete","Shengejuu","Chwale",1439,1390,NA,NA,NA,590189,9436460,"Mainland","Wete_Chwale",21,2829,NA,NA,30
"Wete","Gando","Gando",1630,1757,70,0,0,576886,9448262,"Mainland","Wete_Gando",12,3387,0,70,30
"Wete","Ole","Mjini Ole",1683,1771,12,0,0,591868,9428308,"Mainland","Wete_Mjini Ole",24,3454,0,12,30
"Wete","Shengejuu","Pembeni",1083,1091,10,0,0,588730,9439948,"Mainland","Wete_Pembeni",29,2174,0,10,30
"Wete","Piki","Piki",2186,2321,NA,NA,NA,585348,9434066,"Mainland","Wete_Piki",10,4507,NA,NA,30
"Wete","Kipangani","Kipangani",2485,2490,4,0,0,580311,9440986,"Mainland","Wete_Kipangani",1,4975,0,4,30
