"","Pre-outbreak","Post-outbreak"
"exposures"," 63","180"
"poss_exposures","31"," 0"
"healthy"," 33","221"
"deaths","3","3"
"exp_inc","13.320","38.058"
"death_inc","0.634","0.634"
"PEP1","114","400"
"PEP2"," 98","371"
"PEP3"," 88","334"
"noPEP_rabid","21","39"
"noPEP_rabid_poss","1","0"
"noPEP_healthy","18"," 0"
"latePEP_rabid","0","2"
"latePEP_rabid_poss","0","0"
"latePEP_healthy","0","0"
"noPEPsought_rabid","10"," 0"
"noPEPsought_possrabid","2","0"
"noPEPsought_healthy","13"," 1"
"PEPcomplete_rabid"," 15","129"
"PEPcomplete_possrabid","7","0"
"PEPcomplete_healthy"," 24","138"
"PEPIncomplete_rabid","38","23"
"PEPIncomplete_possrabid","22"," 0"
"PEPIncomplete_healthy"," 9","82"
