"sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.location","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"AB285215","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia",NA,"Zambia: -",2000,2000,2000,5339,"02-Dec-06","16-Jan-09","Canis lupus familiaris",NA,"ZAMRAV51/00"
"KT119780","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","CAF","Central African Republic","Bangui","Central African Republic: Bangui",1992,1992,1992,5054,"30-Jan-16","30-Jan-16","Canis familiaris",NA,"9228CAF_1992_336"
"KT119781","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","CAF","Central African Republic","Bangui","Central African Republic: Bangui",1992,1992,1992,5053,"30-Jan-16","30-Jan-16","Canis familiaris",NA,"9229CAF_1992_541"
"KX148208","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","CAF","Central African Republic",NA,"Central African Republic: -",1992,1992,1992,11802,"28-Nov-16","28-Nov-16","Canis familiaris",NA,"92029CAR"
"MN726811","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2017,2017,2017,11341,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"SD711"
"MN726832","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2017,2017,2017,11341,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"SD709"
"MN726803","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2018,2018,2018,11274,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"SD713"
"MN726822","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2018,2018,2018,11341,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"SD714"
"KF155002","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2010,2010,2010,11923,"14-Jul-13","14-Jul-13","Canis familiaris",23822119,"RV2772"
"KR906742","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2009,2009,2009,11923,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2767.1"
"RAB16024_21-09-2016_Pemba","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba Island","Tanzania: Pemba Island",2016,2016,2016,11921,NA,NA,NA,NA,"RAB16024"
"RAB16026_16-09-2016_Pemba","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba Island","Tanzania: Pemba Island",2016,2016,2016,11923,NA,NA,NA,NA,"RAB16026"
"RAB16027_07-10-2016_Pemba","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba Island","Tanzania: Pemba Island",2016,2016,2016,11914,NA,NA,NA,NA,"RAB16027"
"RAB16028_04-10-2016_Pemba","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba Island","Tanzania: Pemba Island",2016,2016,2016,11923,NA,NA,NA,NA,"RAB16028"
"RAB16029_05-10-2016_Pemba","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba Island","Tanzania: Pemba Island",2016,2016,2016,11922,NA,NA,NA,NA,"RAB16029"
"RV2934_15-06-2007_Dodoma","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: ",2007,2007,2007,11896,NA,NA,NA,NA,"RV2934"
"RV3116_07-05-2012_Serengeti","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11920,NA,NA,NA,NA,"RV3116"
"MN726827","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba Island","Tanzania: -",2017,2017,2017,11869,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"PM023"
"MN726824","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2016,2016,2016,11632,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"RAB16031"
"MN726804","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2015,2015,2015,11923,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"SUB7087"
